Target,<F>(raw) [*10^2],σ_F(raw),<ΔF>(raw),σ_ΔF(raw),<F>(unbinned) [*10^2],<F>(6hr) [*10^2],<F>(12hr) [*10^2],σ_F(unbinned),σ_F(6hr),σ_F(12hr),<ΔF>(unbinned),<ΔF>(6hr),<ΔF>(12hr),σ_ΔF(unbinned),σ_ΔF(6hr),σ_ΔF(12hr),$log(σ^2_NXS(unbinned)),$log(err(σ^2_NXS)(unbinned)),$log(σ^2_NXS(6hr)),$log(err(σ^2_NXS)(6hr)),$log(σ^2_NXS(12hr)),$log(err(σ^2_NXS)(12hr)),F_var(unbinned),err(F_var)(unbinned) [*10^-2],F_var(6hr),err(F_var)(6hr) [*10^-2],F_var(12hr),err(F_var)(12hr) [*10^-2],"τ(inc,days)","Δt(inc,days)","τ(dec,days)","Δt(dec,days)",χ^2 [*10^4],dof [*10^3],χ^2/dof
PKS0637-75 sectors 7+8+9,0.6442,14.0775,0.011,0.6398,2.3185,2.3149,2.3084,0.9703,1.253,1.0859,0.0004,0.0163,0.032,0.6462,0.2546,0.2588,-4.9949,-6.5231,-5.0015,-6.5593,-5.0164,-6.5231,0.0032,0.0047,0.0032,0.0044,0.0031,0.0044,36.2039,0.375,25.4301,0.2292,0.8312,2.503,3.3207
PKS1451-375,-0.0722,1.3899,-0.0021,0.9929,0.0285,0.0367,0.0372,1.3993,0.8009,0.8425,-0.0007,-0.0109,-0.0103,0.9915,0.4298,0.3447,-1.0,-2.162,-0.9716,-2.2052,-0.9776,-2.162,0.3162,1.0888,0.3267,0.954,0.3245,0.9553,0.718,1.4167,0.4229,0.8333,0.1953,0.796,2.4532
WISEJ031612.72+090443.3,0.2792,1.9791,0.0019,1.3357,0.2794,0.2618,0.2624,2.0073,0.9686,1.0184,-0.0013,-0.0244,-0.0476,1.338,0.3705,0.3694,-2.5814,-3.8777,-2.5789,-3.8935,-2.5737,-3.8777,0.0512,0.1294,0.0513,0.1244,0.0517,0.1225,23.8522,3.7083,10.9131,1.7916,0.2777,0.862,3.221
PKS0454+039,0.1612,0.8459,0.0022,0.9104,0.1612,0.1683,0.1683,0.8394,0.7314,0.8354,0.0019,-0.0229,-0.0283,0.9185,0.2685,0.2578,-3.2321,-3.9947,-3.129,-4.1151,-3.1328,-3.9947,0.0242,0.2091,0.0273,0.1407,0.0271,0.1369,10.9176,2.1042,10.5714,2.0625,0.1438,1.09,1.3192
PKS0855-19,-0.0443,0.7818,-0.0063,0.6594,0.0225,0.0154,0.015,0.8374,0.5652,0.0113,-0.006,0.0012,-0.0163,0.6762,0.0575,0.1581,-1.0143,-2.2403,-1.0049,-2.266,-0.9874,-2.2403,0.3111,0.9243,0.3145,0.8619,0.3208,0.8814,0.1787,0.1042,0.1662,0.1042,0.2148,0.71,3.0252
PKS0859-14,0.2156,1.0584,-0.0001,1.0849,0.2155,0.2058,0.2059,1.0587,0.7499,0.7163,-0.0007,0.011,0.0392,1.0921,0.3999,0.0054,-3.1722,-3.9665,-3.1192,-4.081,-3.1288,-3.9665,0.0259,0.2082,0.0276,0.1505,0.0273,0.1733,1.7325,0.2917,0.3819,0.0625,0.106,0.73,1.4515
PKS1004-217,0.6065,0.8213,-0.0072,0.9455,0.6066,0.6023,0.6017,0.8081,0.7188,0.8082,-0.0071,-0.0188,-0.0184,0.9418,0.2664,0.2571,-4.2725,-5.0935,-4.1625,-5.185,-4.2412,-5.0935,0.0073,0.0552,0.0083,0.0394,0.0076,0.0387,72.2121,4.0416,51.7961,2.6666,0.1296,0.924,1.4029
PKS1045-18,0.0049,1.1491,0.0014,0.9833,0.0261,0.0191,0.02,1.1484,0.5881,4.6029,0.0015,0.0264,0.0507,0.9624,0.0006,0.2385,-1.0714,-2.1782,-1.0531,-2.2211,-1.0471,-2.1782,0.2913,1.1389,0.2975,1.0101,0.2995,0.9861,0.0045,0.0208,0.0068,0.0208,0.1716,0.774,2.2171
PKS1424-41,-0.4031,1.5745,-0.0097,1.0927,0.0541,0.0708,0.0686,1.5813,0.7288,0.8033,-0.0087,-0.0849,-0.1691,1.1073,0.3323,0.0046,-1.3132,-2.5922,-1.3242,-2.6337,-1.3282,-2.5922,0.2205,0.5799,0.2177,0.5338,0.2167,0.5405,10.999,8.9792,3.1065,2.7917,0.2567,0.748,3.432
PKS2142-75,0.3315,0.9844,-0.0047,0.9232,0.3315,0.3258,0.3295,0.9727,0.8229,0.8229,-0.0049,-0.0108,-0.0141,0.9315,0.2769,0.0034,-3.4581,-4.5664,-3.4448,-4.6317,-3.4513,-4.5664,0.0187,0.0727,0.019,0.0616,0.0188,0.0605,22.7015,2.1042,19.6923,1.6459,0.2226,1.175,1.8947
WISEJ023951.27+041621.2,0.1548,1.4784,-0.0066,1.2148,0.154,0.1407,0.1378,1.3838,1.0747,1.0346,-0.0043,0.0127,-0.0065,1.2186,0.4487,0.4502,-2.366,-3.5324,-2.3865,-3.5859,-2.389,-3.5324,0.0656,0.2237,0.0641,0.2024,0.0639,0.2213,0.4851,0.1042,1.0269,0.2708,0.2045,0.865,2.3645
WISEJ102243.73-011302.2,-0.3038,1.3941,-0.0106,1.0829,0.0422,0.0544,0.0562,1.3937,1.3326,0.8095,-0.0098,-0.0025,0.0028,1.0862,0.3857,0.1374,-1.1673,-2.385,-1.2059,-2.4364,-1.2208,-2.385,0.2608,0.7899,0.2495,0.7336,0.2452,0.7576,0.1024,0.0625,0.1107,0.0625,0.2133,0.735,2.9016
WISEJ115217.21-084103.1,-0.039,1.0669,0.0066,1.2298,0.0408,0.0502,0.0513,1.0702,0.9838,1.0519,0.0063,-0.0041,-0.0094,1.2311,0.3791,0.2274,-1.6315,-2.5107,-1.6767,-2.6596,-1.6318,-2.5107,0.1528,1.0093,0.1451,0.7546,0.1528,0.7608,0.1838,0.1667,0.15,0.125,0.141,0.943,1.4949
